point,11_P6,08_P5,07_P5_m155,04_P4,05_P4_m155,04_P3,03_P3_m170,02_P2,01_P2_m170,Base
12,1,1,0,1,0,1,0,1,0,0
14,1,1,0,1,0,1,0,1,0,0
15,1,1,0,1,0,1,0,1,0,1
16,1,1,0,1,0,1,0,1,0,0
17,1,1,0,1,0,1,0,1,0,0
18,1,1,0,1,0,1,0,1,0,0
20,1,0,1,0,1,0,1,0,1,1
34,1,1,0,1,0,1,0,1,0,1
36,1,1,0,1,0,1,0,1,0,1
37,1,1,0,1,0,1,0,1,0,0
38,1,1,0,1,0,1,0,1,0,0
39,1,1,0,1,0,1,0,1,0,0
40,1,1,0,1,0,1,0,1,0,1
41,1,1,0,1,0,1,0,1,0,1
42,1,1,0,1,0,1,0,1,0,0
44,1,1,0,1,0,1,0,1,0,0
56,0,0,1,0,1,0,1,0,1,1
57,0,0,1,0,1,0,1,0,1,1
59,0,0,1,0,1,0,1,0,1,1
221,1,1,0,1,0,1,0,1,0,0
225,1,1,0,1,0,1,0,1,0,0
229,1,1,0,1,0,1,0,1,0,0
233,1,1,0,1,0,1,0,1,0,0
237,1,1,0,1,0,1,0,1,0,0
241,1,1,0,1,0,1,0,1,0,0
247,1,1,0,1,0,1,0,1,0,0
249,1,1,0,1,0,1,0,1,0,0
253,1,1,0,1,0,1,0,1,0,0
255,1,1,0,1,0,1,0,1,0,0
257,1,1,0,1,0,1,0,1,0,0
259,1,1,0,1,0,1,0,1,0,0
261,1,1,0,1,0,1,0,1,0,0
269,1,1,0,1,0,1,0,1,0,0
277,1,1,0,1,0,1,0,1,0,0
285,1,0,0,0,0,0,0,0,0,0
293,1,0,1,0,1,0,1,0,1,0
301,1,0,1,0,1,0,1,0,1,0
309,1,0,1,0,1,0,1,0,1,0
349,0,0,1,0,1,0,1,0,1,0
351,0,0,1,0,1,0,1,0,1,0
353,0,0,1,0,1,0,1,0,1,0
355,0,0,1,0,1,0,1,0,1,0
357,0,0,1,0,1,0,1,0,1,0
359,0,0,1,0,1,0,1,0,1,0
374,0,1,0,1,0,1,0,1,0,0
375,1,1,0,1,0,1,0,1,0,0
376,0,1,0,1,0,1,0,1,0,0
377,1,1,0,1,0,1,0,1,0,0
378,0,1,0,1,0,1,0,1,0,0
379,1,1,0,1,0,1,0,1,0,0
380,0,1,0,1,0,1,0,1,0,0
381,1,1,0,1,0,1,0,1,0,0
382,0,1,0,1,0,1,0,1,0,0
383,1,1,0,1,0,1,0,1,0,0
384,0,1,0,1,0,1,0,1,0,0
385,1,1,0,1,0,1,0,1,0,0
400,1,1,0,1,0,1,0,1,0,0
401,1,1,0,1,0,1,0,1,0,0
536,1,1,0,1,0,1,0,0,0,0
537,1,1,0,1,0,1,0,0,0,0
538,1,1,0,1,0,1,0,0,0,0
539,1,1,0,1,0,1,0,0,0,0
540,1,1,0,1,0,1,0,0,0,0
541,1,1,0,1,0,1,0,0,0,0
542,1,1,0,1,0,1,0,0,0,0
543,1,1,0,1,0,1,0,0,0,0
544,1,0,0,0,0,0,0,0,0,0
545,1,0,1,0,1,0,1,0,1,0
546,1,0,1,0,1,0,1,0,1,0
547,1,0,1,0,1,0,1,0,1,0
553,0,0,1,0,1,0,1,0,1,0
597,1,0,1,0,1,0,1,0,1,0
598,1,1,0,1,0,1,0,1,0,0
599,1,1,0,1,0,1,0,1,0,0
600,1,1,0,1,0,1,0,1,0,0
602,1,0,1,0,1,0,1,0,1,0
